region,value
China,0.022469975
China,0.065441512
China,0.353774101
China,11220
China,21702.41016
China,16846.75977
China,131
China,494
China,11968
China,718.3792114
China,2500
China,48906.33203
China,59400
China,24265.19922
China,25915.19922
China,86578.20313
China,60663
China,206119
China,146719
China,14963
China,12463
China,17
China,26487.35938
China,6254
China,5760
China,43334.12109
China,97853.57031
China,76151.15625
China,1715.017944
China,1064.978882
China,44.65419769
China,0.008307219
China,423.0016785
China,45.52998734
China,109.8673477
China,0.944782913
China,660.0651855
China,3.114494085
China,34.47327423
China,212.327652
China,0.193317845
China,0.129288897
China,0.031950142
China,0.455303818
China,1.630816698
China,2.955075264
China,24.87035942
China,12101
China,46657
China,0.011042218
China,5.21023E-05
China,0.000576703
China,0.003552025
China,54889.33203
China,86364.66406
China,27.95929718
China,5.042161942
China,2.448116302
China,0.28546077
China,0.05208439
China,0.442487121
China,0.358765543
China,0.019784596
China,7.51876E-05
China,0.001294021
China,0.007113804
China,1182.653931
China,4.494451046
China,77.35207367
China,425.2383423
China,1.353759646
China,3285.836426
China,1521.944824
China,159.2516174
China,0.008307219
China,950.4224243
China,87.07472992
China,188.2712402
China,94403
China,187479.5625
China,61928.12109
China,4467
China,10717
China,5.107801437
China,18594
China,17
China,20757
China,53363
China,257000
China,463119
China,79000
China,165578.2031
China,276578.1875
China,111000
China,931119
China,468000
China,120580
China,57682.74219
China,17
China,480.9160156
China,13519.08398
China,14489
China,4466.010742
China,62409.03516
China,277025.5625
China,121851.25
China,4855.25293
China,1533.763794
China,359.8478394
China,0.008307219
China,1910.861694
China,145.4477234
China,254.5359802
China,2.33337903
China,0.029281698
China,0.000105169
China,0.003038987
China,0.013304136
China,1750.357422
China,6.28661108
China,181.6600189
China,795.2746582
China,0.607465386
China,0.944525659
China,0.065614514
China,0.85641849
China,5.585930347
China,6.657371044
China,29.21997261
China,83394.66406
China,130508.3359
China,111333.3359
China,163666.6719
China,30.20782089
China,8.335844994
China,4.737461567
China,1.743175745
China,0.08350303
China,1.512452602
China,1.034429908
China,0.041723888
China,0.000375815
China,0.00410127
China,0.024227802
China,2494.108154
China,22.4648819
China,245.1595612
China,1448.253296
China,4.490468502
China,6347.973633
China,1759.241699
China,611.1444702
China,0.008307219
China,3585.207031
China,284.9233093
China,282.9075317
China,16.78381348
China,107340.2813
China,362195.5625
China,71583.75781
China,35196.8125
China,16104
China,3602.836914
China,3602.836914
China,2397.163086
China,17
China,53462.90625
China,204786
China,815870
China,1746989
China,265219
China,541800
China,767900
China,226106
China,2581186
China,834197
China,17
China,247439
China,23434.66797
China,2562.135742
China,6040.701172
China,2437.864258
China,22057
China,15960.11621
China,76864.75781
China,428606.5625
China,97605.21875
China,7511.91748
China,1889.027588
China,738.4341431
China,0.008307219
China,5297.163574
China,403.8254089
China,387.4870605
China,28.14060211
China,4.631046295
China,1.958604693
China,0.039105196
China,0.000398939
China,0.00412506
China,0.035078414
